AdminStrata,Adamawa,Adamawa,Adamawa,Central,Central,Central,East,East,East,Far-North,Far-North,Far-North,Littoral,Littoral,Littoral,North,North,North,North-West,North-West,North-West,South,South,South,South-West,South-West,South-West,West,West,West
Indicator,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm)
2018-01-10,100.86757080175501,65.9346310138965,0.049,98.7239124968569,102.55095962831899,1.639,101.40655645839199,109.449318626558,2.407,100.0,76.83900588881129,0.0,75.38532747049291,99.88429123595009,3.636,100.0,50.058450363950904,0.0,100.656843600213,62.788029224428605,0.763,84.0972153404023,100.08780587565799,6.684,74.1186657320744,83.3793580490525,3.252,96.7048356536782,91.9082912691313,1.594
2018-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-20,100.747458640622,64.8870795988996,0.042,97.3834349793429,113.800323226476,1.284,78.91615979460221,111.789411462749,1.963,100.0,86.8227134807109,0.0,86.82137229623258,113.326010493474,3.0860000000000003,100.0,50.493669760132796,0.0,104.18118466899,64.3543499641158,0.496,81.8523717456366,112.22280385201401,3.853,75.7885906040268,87.1830086480165,2.778,107.75727757277599,96.36350887928509,1.4509999999999998
2018-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-31,100.658865178484,92.0940604094871,0.145,87.23539251312219,122.554596481298,2.201,48.1023200475907,98.6950425185453,1.8019999999999998,100.0,100.039127457693,0.0,89.527027027027,151.005657237937,5.273,100.0,97.6200279996706,0.0,97.55272269436578,97.23252438926072,1.138,68.50236493713311,101.51893907296,8.283999999999999,68.4057346124825,111.09023583745501,3.008,108.21352208213499,125.87029958923401,1.632
2018-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-10,101.23038170897101,112.754549393414,0.262,77.856962345211,113.64748476148701,1.919,49.920424403183006,87.80940763685209,5.055,100.0,100.0,0.0,95.1409548094631,132.173120901853,8.505,100.0,101.683925287913,0.0,95.02990430622009,105.04880710136,4.255,59.614588508031105,84.9654947505733,6.664,73.52450911145641,92.9433962264151,10.238,99.566811062979,118.040697525979,1.857
2018-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-20,107.64885637559,105.61245966044599,1.218,130.393185854998,93.70795989809571,18.180999999999997,87.74684952609171,78.5495609748217,24.155,100.0,100.0,0.0,135.979458342897,102.06301800343,23.619,100.06,100.45544554455401,0.006,116.390256543146,109.055659023601,11.556,117.085806256916,80.88566807188249,44.888999999999996,113.986727922409,91.8193438432041,30.346,112.03201375087299,104.615770025678,7.367999999999999
2018-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-28,195.400767844551,190.372038947827,13.459000000000001,220.997653713882,162.63307022869898,38.659,149.35124937435,106.710649985856,38.372,100.17,100.17,0.017,258.921102320801,168.388716743242,66.206,106.49647362670099,106.940031771247,0.715,260.248467892353,227.694106133101,52.326,173.548434731246,111.90745980215598,55.974,270.934322329015,178.376084978479,105.01899999999999,250.80820067929798,206.72131147541,42.065
2018-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-10,164.544908638586,164.494590939824,13.685,206.41053483643,174.330760882672,37.709,148.414260409931,112.897915261315,33.046,100.249550808545,100.249550808545,0.026000000000000002,246.27234748418,193.255326543723,60.518,104.24593327819099,104.24593327819099,0.622,253.528962195404,233.267443851266,68.76100000000001,189.15309229093998,134.224888765645,59.371,265.525479581029,200.305734324094,80.252,228.053953172718,210.348828642994,48.099
2018-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-20,137.70513256733102,139.208504098361,15.469000000000001,141.190687389924,140.048871257975,23.46,129.974558468019,110.227456982936,41.703,100.26844303042401,100.26844303042401,0.042,170.749355067474,159.06864218308598,29.41,101.862612433336,101.910371726498,1.46,215.95974287993198,203.536180082129,53.023,130.726380730483,120.468150229559,34.0,207.44770496678902,176.12739965096,55.832,187.55393033778802,180.321525634529,42.422
2018-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,124.88983988249599,144.71323542072,29.719,105.668281561698,130.960215375411,40.068000000000005,104.912108317859,107.587648189942,41.24100000000001,102.17307692307699,102.33653846153798,0.5579999999999999,96.0183334942838,132.348196924165,29.329,116.67287630402399,120.648073712201,6.707000000000001,140.988952482364,167.912410801735,37.696,105.07386123827101,118.19908284727501,58.448,110.84638483807699,146.304641924671,38.851,119.761334316255,146.958583623143,29.444000000000003
2018-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
